name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types
Cafe Extrablatt Mainz Schillerplatz,"Ludwigsstraße 1, 55116 Mainz, Deutschland",06131 6299454,https://cafe-extrablatt.de/standorte/details/cafe-extrablatt-mainz-schillerplatz,True,53,Tabellen-Layout; IE-Kompatibilität; keine Media Queries; Copyright bis 1998,Modernisierung empfohlen,"restaurant,breakfast_restaurant,bar,cafe,food,point_of_interest,establishment"
Cafe Extrablatt Mainz Markt,"Markt 7-9, 55116 Mainz, Deutschland",06131 912697,https://cafe-extrablatt.de/standorte/details/cafe-extrablatt-mainz-markt,True,53,Tabellen-Layout; IE-Kompatibilität; keine Media Queries; Copyright bis 1998,Modernisierung empfohlen,"restaurant,breakfast_restaurant,cafe,bar,food,point_of_interest,establishment"
Steins Traube - Mainz,"Poststraße 4, 55126 Mainz, Deutschland",06131 40249,https://steins-traube.de/,True,55,<font>-Tags; Tabellen-Layout; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen,"fine_dining_restaurant,french_restaurant,german_restaurant,european_restaurant,restaurant,food,point_of_interest,establishment"
Stadthaus Schänke,"Stadionerhofstraße 1, 55116 Mainz-Altstadt, Deutschland",06131 225845,http://www.stadthausschaenke-mainz.de/,True,55,kein HTTPS; kein Mobile-Viewport,Modernisierung empfohlen,"restaurant,food,point_of_interest,establishment"
Niko Niko Tei,"Gaustraße 67, 55116 Mainz-Altstadt, Deutschland",06131 2112888,http://www.nikonikotei.de/,True,56,kein HTTPS; keine Media Queries; Copyright bis 1999,Modernisierung empfohlen,"japanese_restaurant,sushi_restaurant,restaurant,food,point_of_interest,establishment"
Pizzeria La Casetta,"Heidesheimer Str. 12, 55124 Mainz, Deutschland",06131 467199,http://www.la-casetta-mainz.com/,True,58,kein HTTPS; feste Pixel-Breite; keine Media Queries,Modernisierung empfohlen,"pizza_restaurant,italian_restaurant,restaurant,point_of_interest,food,establishment"
Ristorante Piccolo Mondo,"Anna-Birle-Straße 3A, 55252 Wiesbaden-Mainz-Kastel, Deutschland",06134 202929,http://www.piccolomondo-it.de/,True,60,<center>-Tags; IE-Kompatibilität; keine Media Queries; Copyright bis 2017,Modernisierung empfohlen,"italian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment"
Il Forno a Legna,"Klarastraße 2, 55116 Mainz, Deutschland",06131 2113838,https://il-forno-a-legna-mainz.gustogang.de/,True,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,"meal_takeaway,restaurant,food,point_of_interest,establishment"
Olivengarten,"Ebersheimer Weg 32, 55131 Mainz, Deutschland",06131 2121606,http://olivengarten-mainz.de/,True,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,"italian_restaurant,restaurant,food,point_of_interest,establishment"
Pizzeria Sole,"Pariser Str. 20, 55131 Mainz, Deutschland",06131 6968999,http://www.sole-mainz.de/,True,63,Tabellen-Layout; feste Pixel-Breite; keine Media Queries,Modernisierung empfohlen,"pizza_restaurant,italian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment"
Thai Country,"Emmeransstraße 32, 55116 Mainz, Deutschland",06131 9716125,https://m.facebook.com/100068368013231/,True,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,"thai_restaurant,restaurant,food,point_of_interest,establishment"
Nudel- und Sushibar Hai Phan,"Dr.-Martin-Luther-King-Weg 20, 55122 Mainz, Deutschland",06131 5709239,https://m.facebook.com/pages/Hai-Sushi-Nudelbar/641187245946029,True,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,"sushi_restaurant,japanese_restaurant,restaurant,point_of_interest,food,establishment"
Bellpepper Restaurant & Terrasse,"Templerstraße 6, 55116 Mainz, Deutschland",06131 7311537,https://www.bellpepper.de/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=website,True,65,Tabellen-Layout; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen,"restaurant,fine_dining_restaurant,food,point_of_interest,establishment"
Mai Anh,"Breite Str. 71, 55124 Mainz-Gonsenheim, Deutschland",06131 43171,https://sites.google.com/view/maianh-restaurant,True,65,kein Mobile-Viewport; feste Pixel-Breite,Modernisierung empfohlen,"vietnamese_restaurant,thai_restaurant,restaurant,point_of_interest,food,establishment"
vietshaus,"Elisabethenstraße 2, 55130 Mainz, Deutschland",06131 2106821,http://www.vietshaus.de/,True,67,kein Mobile-Viewport; IE-Kompatibilität,Modernisierung empfohlen,"asian_restaurant,restaurant,food,point_of_interest,establishment"
UDP Mainz Restaurante,"Mombacher Str. 38b, 55122 Mainz, Deutschland",06131 373214,http://udp-mainz-restaurante.com/,True,68,kein HTTPS; keine Media Queries,Modernisierung empfohlen,"portuguese_restaurant,european_restaurant,seafood_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment"
ALEX Mainz,"Gutenbergpl. 14, 55116 Mainz, Deutschland",06131 1447350,http://www.dein-alex.de/mainz,True,68,IE-Kompatibilität; keine Media Queries; Copyright bis 1998,Modernisierung empfohlen,"restaurant,brunch_restaurant,breakfast_restaurant,snack_bar,cafe,meal_takeaway,food,point_of_interest,establishment"
Café Dinges Mainz,"Mailandsgasse 2, 55116 Mainz-Rebstockplatz, Deutschland",06131 227833,http://www.cafe-dinges.com/,True,68,kein HTTPS; keine Media Queries,Modernisierung empfohlen,"cafe,food,point_of_interest,establishment"
"Ristorante alCortile Holzofenpizzeria con Cucina ''1. Mainzer Holzofenpizzeria""","Kartäuserstraße 14, 55116 Mainz, Deutschland",06131 617878,http://www.alcortile.de/,True,68,IE-Kompatibilität; keine Media Queries; Copyright bis 1998,Modernisierung empfohlen,"italian_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment"
El Burro,"Dominikanerstraße 2, 55116 Mainz, Deutschland",06131 2144795,http://www.el-burro.de/,True,70,feste Pixel-Breite; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen,"mexican_restaurant,restaurant,food,point_of_interest,establishment"
Trattoria Peperoncino,"Emmeransstraße 1, 55116 Mainz-Altstadt, Deutschland",06131 5540377,http://www.peperoncino-mainz.de/,True,70,feste Pixel-Breite; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen,"italian_restaurant,restaurant,food,point_of_interest,establishment"
La Rustica,"Alexander-Diehl-Straße 14, 55130 Mainz, Deutschland",06131 5769999,http://la-rustica-mainz.de/,True,70,kein HTTPS; feste Pixel-Breite,Modernisierung empfohlen,"italian_restaurant,pizza_restaurant,restaurant,food,point_of_interest,establishment"
Ha Long - Asia Cuisine,"Holzstraße 22, 55116 Mainz, Deutschland",0176 32778844,https://www.ha-long-mainz.de/,True,70,<center>-Tags; feste Pixel-Breite; Copyright bis 2006,Modernisierung empfohlen,"asian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment"
Hyu Sushi 124,"Breite Str. 22, 55124 Mainz, Deutschland",06131 2770199,https://hyu124.de/,True,70,feste Pixel-Breite; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen,"sushi_restaurant,japanese_restaurant,restaurant,point_of_interest,food,establishment"
Gudn. Restaurant & Weingarten,"Breite Str. 65, 55124 Mainz, Deutschland",06131 6968543,http://www.gudn-food.de/,True,75,HTML4/XHTML; feste Pixel-Breite,OK,"restaurant,food,point_of_interest,establishment"
Kransand Bistrobar,"Rheinufer, 55252 Wiesbaden, Deutschland",0176 23638312,http://www.kransand.de/,True,75,kein Mobile-Viewport,OK,"bar,point_of_interest,establishment"
Zenbi - Sushi Mainz & Asiatisches Fusion Restaurant,"Rotekopfgasse 2, 55116 Mainz, Deutschland",06131 6062648,https://zenbi-mainz.de/,True,75,kein Mobile-Viewport,OK,"sushi_restaurant,japanese_restaurant,asian_fusion_restaurant,fusion_restaurant,asian_restaurant,restaurant,food,point_of_interest,establishment"
L'Osteria Mainz,"Holzhofstraße 7, 55116 Mainz, Deutschland",06131 6937440,https://losteria.net/de/restaurants/restaurant/mainz/,True,76,keine Media Queries; Copyright bis 1998,OK,"italian_restaurant,pizza_restaurant,restaurant,food,point_of_interest,establishment"
Geberts Weinstuben,"Frauenlobstraße 94, 55118 Mainz, Deutschland",06131 611619,http://www.geberts-weinstuben.de/,True,76,keine Media Queries; Copyright bis 1998,OK,"german_restaurant,european_restaurant,bar,restaurant,food,point_of_interest,establishment"
Amore Vino Mainz,"Stefanspl. 1, 55116 Mainz, Deutschland",06131 9455117,https://amore-vino.de/,True,78,feste Pixel-Breite; keine Media Queries,OK,"restaurant,food,point_of_interest,establishment"
Weinstube „Am Holztor“,"Holzstraße 40, 55116 Mainz, Deutschland",06131 5547700,http://www.amholztor.de/,True,78,<font>-Tags; keine Media Queries,OK,"restaurant,food,point_of_interest,establishment"
Prost & Mahlzeit – Mainz,"Schusterstraße 18 - 20, 55116 Mainz, Deutschland",06131 2494031,http://www.prostundmahlzeit-mainz.de/,True,78,feste Pixel-Breite; keine Media Queries,OK,"german_restaurant,brewpub,wine_bar,beer_garden,pub,european_restaurant,bar,restaurant,food,point_of_interest,establishment"
