name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types,final_url,https,viewport,score,probleme,empfehlung,status,fehler
La Rustica,"Alexander-Diehl-Straße 14, 55130 Mainz, Deutschland",06131 5769999,http://la-rustica-mainz.de/,True,70,kein HTTPS; feste Pixel-Breite,Modernisierung empfohlen,"italian_restaurant,pizza_restaurant,restaurant,food,point_of_interest,establishment",http://la-rustica-mainz.de/,False,True,70,kein HTTPS; feste Pixel-Breite,Modernisierung empfohlen,200,
Ha Long - Asia Cuisine,"Holzstraße 22, 55116 Mainz, Deutschland",0176 32778844,https://www.ha-long-mainz.de/,True,70,<center>-Tags; feste Pixel-Breite; Copyright bis 2006,Modernisierung empfohlen,"asian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment",https://places.thebest100hotels.com/en/generic/ha-long-vietnamese-cuisine/,True,True,70,<center>-Tags; feste Pixel-Breite; Copyright bis 2006,Modernisierung empfohlen,200,
Restaurant Plaka,"Albert-Schweitzer-Straße 19, 55128 Mainz, Deutschland",06131 335915,http://restaurantplakamainz.de/,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,"greek_restaurant,mediterranean_restaurant,restaurant,food,point_of_interest,establishment",http://restaurantplakamainz.de/,False,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,403,
Quartier Mayence,"Weihergartenstraße 12, 55116 Mainz-Altstadt, Deutschland",06131 2199533,http://www.quartiermayence-bar.de/,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,"restaurant,event_venue,food,point_of_interest,establishment",http://www.quartiermayence-bar.de/,False,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,403,
Pizzeria & Bistro Lupo Mainz,"Stahlbergstraße 24, 55131 Mainz, Deutschland",06131 51150,http://lupopizzeria.de/,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,"pizza_delivery,meal_takeaway,meal_delivery,food_delivery,italian_restaurant,restaurant,food,point_of_interest,establishment",http://lupopizzeria.de/,False,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,403,
China Garden,"Mombacher Str. 76A, 55122 Mainz, Deutschland",06131 6007060,http://china-garden-mainz-lieferservice.de/,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,"chinese_restaurant,mongolian_barbecue_restaurant,asian_restaurant,thai_restaurant,sushi_restaurant,japanese_restaurant,buffet_restaurant,restaurant,point_of_interest,food,establishment",http://china-garden-mainz-lieferservice.de/,False,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,403,
Ristorante Piccolo Mondo,"Anna-Birle-Straße 3A, 55252 Wiesbaden-Mainz-Kastel, Deutschland",06134 202929,http://www.piccolomondo-it.de/,True,72,<center>-Tags; IE-Kompatibilität; Copyright bis 2017,Modernisierung empfohlen,"italian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment",https://www.piccolomondo-it.de/,True,True,72,<center>-Tags; IE-Kompatibilität; Copyright bis 2017,Modernisierung empfohlen,200,
Maxim - Restaurant,"Neubrunnenplatz 1a, 55116 Mainz, Deutschland",06131 1439429,https://maxim-mz.de/,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,"western_restaurant,cocktail_bar,apartment_building,bar,lodging,service,restaurant,food,point_of_interest,establishment",https://maxim-mz.de/,True,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,200,
pankratz,"Lindenpl. 6, 55129 Mainz-Hechtsheim, Deutschland",06131 957780,https://www.pankratiushof.de/,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,"german_restaurant,breakfast_restaurant,european_restaurant,restaurant,food,point_of_interest,establishment",https://www.pankratiushof.de/,True,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,200,
Café Lille Hus Mainz,"Kirschgarten 21, 55116 Mainz, Deutschland",,https://www.lillehusmainz.de/,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,"breakfast_restaurant,scandinavian_restaurant,cafe,restaurant,food,point_of_interest,establishment",https://www.lillehusmainz.de/,True,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,200,
